Loss,B1 exit,B2 exit,Main exit,Avg-Latency,B1 Accuracy,B2 Accuracy,Main Accuracy,Average Accuracy
0.44,1307,0,3694,0.0020695767402648924,0.9709257842387146,0,0.7544667027612344,0.8110377924415118
0.45,1378,0,3623,0.002042954969406128,0.9499274310595065,0,0.75848744134695,0.8112377524495101
0.46,1375,0,3626,0.002044745469093323,0.9534545454545454,0,0.7614451185879757,0.8142371525694861
0.47000000000000003,1423,0,3578,0.002039157795906067,0.9571328179901616,0,0.7467859139183901,0.8066386722655469
0.48,1439,0,3562,0.0020604684591293337,0.9527449617790132,0,0.7526670409882089,0.8102379524095181
0.49,1423,0,3578,0.0020494556188583373,0.9508081517919887,0,0.7409167132476244,0.8006398720255948
0.5,1472,0,3529,0.0020357831954956056,0.9605978260869565,0,0.7514876735619156,0.8130373925214956
0.51,1481,0,3520,0.0020211241006851195,0.950033760972316,0,0.7485795454545454,0.8082383523295341
0.52,1518,0,3483,0.002022007727622986,0.9472990777338604,0,0.738443870226816,0.8018396320735853
0.53,1573,0,3428,0.0020003748416900636,0.9485060394151303,0,0.7505834305717619,0.8128374325134973
0.54,1557,0,3444,0.002005065894126892,0.9505459216441875,0,0.75,0.8124375124975005
0.55,1565,0,3436,0.0020071943283081054,0.952076677316294,0,0.7424330616996507,0.8080383923215357
0.56,1624,0,3377,0.0019869962930679323,0.9439655172413793,0,0.7494817885697365,0.8126374725054989
0.5700000000000001,1645,0,3356,0.0019961960077285765,0.948936170212766,0,0.7431466030989273,0.8108378324335133
0.58,1656,0,3345,0.001976258635520935,0.9444444444444444,0,0.747982062780269,0.8130373925214956
0.59,1694,0,3307,0.0019757511615753173,0.9451003541912633,0,0.742969458723919,0.8114377124575085
0.6,1759,0,3242,0.0019548966646194457,0.9397384877771461,0,0.742134484885873,0.8116376724655069
0.61,1768,0,3233,0.0019729138135910033,0.9366515837104072,0,0.7392514692236313,0.8090381923615277
0.62,1748,0,3253,0.00196936411857605,0.9416475972540046,0,0.7257915770058407,0.8012397520495901
0.63,1773,0,3228,0.0019839221954345704,0.9362662154540327,0,0.7218091697645601,0.7978404319136173
0.64,1822,0,3179,0.0019449605941772462,0.9401756311745335,0,0.7363950927964769,0.8106378724255149
0.65,1838,0,3163,0.0019517934799194337,0.9347116430903155,0,0.7398039835599115,0.8114377124575085
0.66,1823,0,3178,0.001949426817893982,0.9369171695008228,0,0.7353681560730019,0.8088382323535293
0.67,1898,0,3103,0.0019491575479507446,0.9209694415173867,0,0.7302610377054464,0.8026394721055788
0.68,1916,0,3085,0.001930625581741333,0.9206680584551148,0,0.7254457050243112,0.8002399520095981
0.6900000000000001,1952,0,3049,0.0019245123147964478,0.923155737704918,0,0.7379468678255166,0.8102379524095181
0.7000000000000001,1952,0,3049,0.0019252471446990966,0.9318647540983607,0,0.727123647097409,0.8070385922815437
0.71,2037,0,2964,0.0019086159706115722,0.9258713794796269,0,0.7385290148448043,0.8148370325934813
0.72,2040,0,2961,0.0019300028085708618,0.9151960784313725,0,0.7176629517055049,0.7982403519296141
